DaysSince5/19/06,SPY Raw,SPY ADJ,VIX,3Mo Interest Rate,SSVI eta,SSVI rho,VXST (estimate before 2/3/14)
0,127.10,94.37,17.18,0.048200,3.3701,-0.6554,17.03
3,126.13,93.65,17.72,0.048300,3.2459,-0.672,17.70
4,125.17,92.93,18.26,0.048400,3.2294,-0.6775,18.36
5,126.17,93.68,17.36,0.048200,3.2129,-0.683,17.25
6,127.73,94.83,15.50,0.048200,3.1965,-0.6859,14.97
7,128.38,95.32,14.26,0.048400,3.18,-0.6887,13.44
11,126.10,93.62,18.66,0.048400,3.1142,-0.7002,18.85
12,127.51,94.67,16.44,0.048600,3.0977,-0.703,16.12
13,128.73,95.58,14.52,0.048300,3.0813,-0.7059,13.76
14,129.00,95.78,14.32,0.048100,3.0648,-0.709,13.51
17,127.12,94.38,16.65,0.048500,3.0154,-0.7182,16.38
18,126.81,94.15,17.34,0.048600,2.999,-0.7213,17.23
19,125.86,93.45,17.80,0.048600,2.9825,-0.7243,17.79
20,125.75,93.36,18.35,0.048700,2.9661,-0.7274,18.47
21,125.35,93.07,18.12,0.048800,2.973,-0.7305,18.19
24,123.99,92.06,20.96,0.049300,2.994,-0.7397,21.68
25,122.55,90.99,23.81,0.048900,3.001,-0.7425,25.19
26,123.50,91.69,21.46,0.049000,3.0079,-0.7452,22.30
27,126.12,93.64,15.90,0.048500,3.1874,-0.748,15.46
28,124.65,92.96,17.25,0.048800,3.1441,-0.7507,17.12
31,123.67,92.23,17.83,0.049300,3.3147,-0.7541,17.83
32,124.09,92.54,16.69,0.049200,3.2771,-0.7519,16.43
33,125.01,93.22,15.52,0.049200,3.2396,-0.7497,14.99
34,124.46,92.81,15.88,0.049200,3.2163,-0.7475,15.43
35,124.44,92.80,15.89,0.049800,3.1929,-0.7453,15.44
38,124.99,93.21,15.62,0.050300,3.1229,-0.7488,15.11
39,123.91,92.40,16.40,0.050500,3.0996,-0.7566,16.07
40,124.75,93.03,15.79,0.050100,3.0763,-0.7675,15.32
41,127.27,94.91,13.03,0.050100,3.0529,-0.7526,11.93
42,127.28,94.92,13.08,0.050100,3.0296,-0.7376,11.99
45,127.80,95.31,13.05,0.050800,2.9596,-0.7138,11.95
47,127.07,94.76,14.15,0.050100,2.9129,-0.7316,13.30
48,127.44,95.04,13.65,0.050000,2.8896,-0.7405,12.69
49,126.61,94.42,13.97,0.050200,2.8662,-0.7347,13.08
52,126.85,94.60,14.02,0.050600,2.843,-0.7171,13.14
53,127.41,95.01,13.14,0.050500,2.8664,-0.7313,12.06
54,126.05,94.00,14.49,0.050600,2.8899,-0.7526,13.72
55,124.00,92.47,17.79,0.050500,2.4475,-0.7738,17.78
56,123.52,92.11,18.05,0.050600,2.5152,-0.795,18.10
59,123.34,91.98,18.64,0.051100,2.6353,-0.7843,18.83
60,123.97,92.45,17.74,0.051300,2.6762,-0.7686,17.72
61,125.69,93.73,15.55,0.051100,2.7171,-0.7638,15.03
62,124.83,93.09,16.21,0.050800,2.758,-0.759,15.84
63,123.95,92.43,17.40,0.051000,2.799,-0.7542,17.30
66,126.21,94.12,14.98,0.051000,2.9217,-0.7398,14.33
67,126.66,94.45,14.85,0.051300,2.9627,-0.735,14.17
68,126.83,94.58,14.62,0.051100,3.0036,-0.7302,13.88
69,126.71,94.49,14.94,0.051000,3.0445,-0.7254,14.28
70,127.98,95.44,14.33,0.050700,3.0854,-0.7206,13.53
73,127.85,95.34,14.95,0.051000,3.1865,-0.7227,14.29
74,127.22,94.87,15.05,0.051200,3.2057,-0.7261,14.41
75,128.08,95.51,14.34,0.051000,3.2249,-0.7295,13.54
76,128.42,95.77,14.46,0.051100,3.0819,-0.733,13.69
77,128.20,95.60,14.34,0.050900,3.0555,-0.7145,13.54
80,127.90,95.38,15.23,0.051200,2.9762,-0.7107,14.63
81,127.41,95.01,15.23,0.051000,2.9497,-0.718,14.63
82,126.98,94.69,15.20,0.050700,2.9875,-0.7254,14.60
83,127.37,94.98,14.46,0.050500,3.0252,-0.7328,13.69
84,127.01,94.72,14.30,0.050700,3.0629,-0.7401,13.49
87,127.11,94.79,14.26,0.051200,3.176,-0.7105,13.44
88,128.63,95.92,13.42,0.051000,3.2137,-0.7049,12.41
89,129.70,96.72,12.41,0.050700,3.2514,-0.6993,11.16
90,130.03,96.97,12.24,0.050900,3.2891,-0.6938,10.96
91,130.69,97.46,11.64,0.051000,3.3268,-0.6882,10.22
94,130.13,97.04,12.22,0.051100,3.4399,-0.6715,10.93
95,130.12,97.04,12.19,0.051000,3.4776,-0.6659,10.89
